items/title,items/id,items/resultType,items/address/label,items/address/countryCode,items/address/countryName,items/address/stateCode,items/address/state,items/address/county,items/address/city,items/address/street,items/address/postalCode,items/position/lat,items/position/lng,items/access/0/lat,items/access/0/lng,items/distance,items/categories/0/id,items/categories/0/name,items/categories/0/primary,items/contacts/0/phone/0/value,items/contacts/0/www/0/value,items/address/houseNumber,items/address/district
Covid-19 Testing Site: Quest Diagnostics - Freehold,here:pds:place:840dr5hv-828a4db1cee6404093386d3a5264b2ab,place,"Covid-19 Testing Site: Quest Diagnostics - Freehold, 260 Mounts Corner Dr, Freehold, NJ 07728, United States",USA,United States,NJ,New Jersey,Monmouth,Freehold,Mounts Corner Dr,7728,40.24199,-74.30546,40.24201,-74.30539,22131,800-8000-0400,Covid-19 Testing Site,TRUE,18666978378,https://covid19.nj.gov,260,
Covid-19 Testing Site: PM Pediatrics,here:pds:place:840dr5n0-03e49a6f4fe24cab86ebb3a6ec87c6a2,place,"Covid-19 Testing Site: PM Pediatrics, US-1, North Brunswick, NJ 08902, United States",USA,United States,NJ,New Jersey,Middlesex,North Brunswick,US-1,8902,40.44053,-74.50541,40.44042,-74.50531,43336,800-8000-0400,Covid-19 Testing Site,TRUE,17322976767,https://covid19.nj.gov/index.html,,
Covid-19 Testing Site: Immcare Facility,here:pds:place:840dr5n7-89f39236fc7c42569a1248011f23aa9b,place,"Covid-19 Testing Site: Immcare Facility, 561 US Highway 1, Edison, NJ 08817-4400, United States",USA,United States,NJ,New Jersey,Middlesex,Edison,US Highway 1,08817-4400,40.50674,-74.39655,40.50673,-74.39664,49870,800-8000-0400,Covid-19 Testing Site,TRUE,18559255467,https://www.nj.gov/health,561,
Covid-19 Testing Site: Medexpress Cinnaminson,here:pds:place:840dr4et-0321dac598894f4fb6b92e3090e52c7d,place,"Covid-19 Testing Site: Medexpress Cinnaminson, 1210 Route 130 N, Riverton, NJ 08077-3006, United States",USA,United States,NJ,New Jersey,Burlington,Riverton,Route 130 N,08077-3006,39.9992,-74.98635,39.99984,-74.98707,49874,800-8000-0400,Covid-19 Testing Site,TRUE,18568290407,https://covid19.nj.gov/index.html,1210,Brynwood Square
Covid-19 Testing Site: Rite Aid,here:pds:place:840dr4sh-d07619d1517943c0b698904a219dc4b1,place,"Covid-19 Testing Site: Rite Aid, E Roosevelt Blvd, Philadelphia, PA 19115, United States",USA,United States,PA,Pennsylvania,Philadelphia,Philadelphia,E Roosevelt Blvd,19115,40.08692,-75.02265,40.08692,-75.02265,52592,800-8000-0400,Covid-19 Testing Site,TRUE,12156730747,https://www.health.pa.gov/topics/disease/coronavirus/Pages/Coronavirus.aspx,,Northeast Philadelphia
Covid-19 Testing Site: Rite Aid,here:pds:place:840dr5ns-da5f1b6b1c3f4fa9b12c23d59ae58ae6,place,"Covid-19 Testing Site: Rite Aid, 10 Lincoln Hwy, Edison, NJ 08820-3906, United States",USA,United States,NJ,New Jersey,Middlesex,Edison,Lincoln Hwy,08820-3906,40.5556,-74.34595,40.55548,-74.34587,55529,800-8000-0400,Covid-19 Testing Site,TRUE,17327440705,https://www.nj.gov/health,10,
Covid-19 Testing Site: Quest Diagnostics - Brick NJ,here:pds:place:840dr57c-54d8d63cf5b5423aaebf296922a38ed5,place,"Covid-19 Testing Site: Quest Diagnostics - Brick NJ, 4 Unity Dr, Brick, NJ 08723-5461, United States",USA,United States,NJ,New Jersey,Ocean,Brick,Unity Dr,08723-5461,40.05008,-74.1197,40.05009,-74.11959,24359,800-8000-0400,Covid-19 Testing Site,TRUE,18666978378,https://covid19.nj.gov,4,
Covid-19 Testing Site: Rite Aid,here:pds:place:840dr4ee-c517774385a44b6e905bac71f470ebc5,place,"Covid-19 Testing Site: Rite Aid, 2401 E Venango St, Philadelphia, PA 19134, United States",USA,United States,PA,Pennsylvania,Philadelphia,Philadelphia,E Venango St,19134,39.993,-75.09644,39.9929,-75.09655,59262,800-8000-0400,Covid-19 Testing Site,TRUE,12157438530,https://www.health.pa.gov/topics/disease/coronavirus/Pages/Coronavirus.aspx,2401,Port Richmond
COVID-19 Testing Site: Abington Hospital,here:pds:place:840dr4s4-334d0b9d23ba4a59badcb51afe630fdd,place,"COVID-19 Testing Site: Abington Hospital, 1200 Old York Rd, Abington, PA 19001, United States",USA,United States,PA,Pennsylvania,Montgomery,Abington,Old York Rd,19001,40.11905,-75.11935,40.11898,-75.11923,61084,800-8000-0400,Covid-19 Testing Site,TRUE,18005333669,https://www.health.pa.gov/Pages/default.aspx,1200,Abington
Covid-19 Testing Site: Doylestown Health,here:pds:place:840dr4t6-4eab7ebe9d164da98708e73c1d4ca0be,place,"Covid-19 Testing Site: Doylestown Health, 595 W State St, Doylestown, PA 18901-2554, United States",USA,United States,PA,Pennsylvania,Bucks,Doylestown,W State St,18901-2554,40.30472,-75.14384,40.30472,-75.14384,68432,800-8000-0400,Covid-19 Testing Site,TRUE,12678851722,https://www.health.pa.gov/Pages/default.aspx,595,
Covid-19 Testing Site: Riteaid,here:pds:place:840dr5n3-8feb82af797f4aeb931b30c1b503f618,place,"Covid-19 Testing Site: Riteaid, 773 Hamilton St, Somerset, NJ 08873-3102, United States",USA,United States,NJ,New Jersey,Somerset,Somerset,Hamilton St,08873-3102,40.49042,-74.47656,40.4903,-74.47648,48424,800-8000-0400,Covid-19 Testing Site,TRUE,,https://www.co.somerset.nj.us/government/public-health-safety/health-department,773,
Covid-19 Testing Site: Rite Aid,here:pds:place:840dr4d4-e04b9a21f0b342adb8c507367602b647,place,"Covid-19 Testing Site: Rite Aid, 500 Woodbury Glassboro Rd, Sewell, NJ 08080, United States",USA,United States,NJ,New Jersey,Gloucester,Sewell,Woodbury Glassboro Rd,8080,39.75012,-75.12785,39.75018,-75.12769,70489,800-8000-0400,Covid-19 Testing Site,TRUE,18565824300,https://www.nj.gov/health,500,
COVID-19 Testing Site: Rite Aid,here:pds:place:840dr47p-8b5c5f29d4334200b532e87b5f012916,place,"COVID-19 Testing Site: Rite Aid, 6731 Woodland Ave, Philadelphia, PA 19142, United States",USA,United States,PA,Pennsylvania,Philadelphia,Philadelphia,Woodland Ave,19142,39.92332,-75.2378,39.9232,-75.23772,72459,800-8000-0400,Covid-19 Testing Site,TRUE,12157249677,https://www.health.pa.gov/topics/disease/coronavirus/Pages/Coronavirus.aspx,6731,Elmwood
COVID-19 Testing Site: Weequahic Park,here:pds:place:840dr5px-0b253a0f4dbd470096ac3dd602430b1c,place,"COVID-19 Testing Site: Weequahic Park, Thomas Carmichael Dr, Newark, NJ 07112, United States",USA,United States,NJ,New Jersey,Essex,Newark,Thomas Carmichael Dr,7112,40.7007,-74.19956,40.7007,-74.19956,73535,800-8000-0400,Covid-19 Testing Site,TRUE,19733249950,https://covid19.nj.gov/index.html,,
Covid-19 Testing Site: Kean University,here:pds:place:840dr5pq-ed226651aaf84700b282fe4bc4a5ffd3,place,"Covid-19 Testing Site: Kean University, 1000 Morris Ave, Union, NJ 07083-7130, United States",USA,United States,NJ,New Jersey,Union,Union,Morris Ave,07083-7130,40.67848,-74.2343,40.67964,-74.23178,70473,800-8000-0400,Covid-19 Testing Site,TRUE,19082147107,https://ucnj.org/coronavirus-update,1000,
Covid-19 Testing Site: Rite Aid,here:pds:place:840dr5r3-a7395349efc24a378a4f285a62cd64cb,place,"Covid-19 Testing Site: Rite Aid, 1097 Broadway, Bayonne, NJ 07002, United States",USA,United States,NJ,New Jersey,Hudson,Bayonne,Broadway,7002,40.6855,-74.10021,40.68542,-74.10008,74388,800-8000-0400,Covid-19 Testing Site,TRUE,12014366831,https://www.nj.gov/health,1097,
Covid-19 Testing Site: Weequahic Park,here:pds:place:840dr5px-5fbe53b22af841aa8aa01c27eb6c8586,place,"Covid-19 Testing Site: Weequahic Park, 221 Meeker Ave, Newark, NJ 07112-2632, United States",USA,United States,NJ,New Jersey,Essex,Newark,Meeker Ave,07112-2632,40.709,-74.19768,40.70931,-74.19825,74469,800-8000-0400,Covid-19 Testing Site,TRUE,19733249950,https://essexcountynj.org/department-of-health-and-rehabilitation,221,Weequahic
Covid-19 Testing Site: Sunrise Care,here:pds:place:840dr5rb-6576110a47c04c7b9776c8e0aff52e69,place,"Covid-19 Testing Site: Sunrise Care, 155 Mt Pleasant Ave, Newark, NJ 07104-3918, United States",USA,United States,NJ,New Jersey,Essex,Newark,Mt Pleasant Ave,07104-3918,40.75671,-74.16836,40.75664,-74.16793,80218,800-8000-0400,Covid-19 Testing Site,TRUE,18622570718,https://covid19.nj.gov,155,Mount Pleasant/Lower Broadway
Covid-19 Testing Site: Rite Aid,here:pds:place:840dr4mp-342725dd8ce34bfeaea804ac5ef48a46,place,"Covid-19 Testing Site: Rite Aid, 1856 N Broad St, Lansdale, PA 19446-1118, United States",USA,United States,PA,Pennsylvania,Montgomery,Lansdale,N Broad St,19446-1118,40.25877,-75.2662,40.25834,-75.26565,76449,800-8000-0400,Covid-19 Testing Site,TRUE,12154129375,https://www.health.pa.gov/topics/disease/coronavirus/Pages/Coronavirus.aspx,1856,
Covid-19 Testing Site: Rite Aid,here:pds:place:840dr5pz-66661e4246124d56b4342a946ce73819,place,"Covid-19 Testing Site: Rite Aid, 104 12th Ave, Newark, NJ 07107-3004, United States",USA,United States,NJ,New Jersey,Essex,Newark,12th Ave,07107-3004,40.7426,-74.19172,40.74258,-74.19173,78218,800-8000-0400,Covid-19 Testing Site,TRUE,19736210580,https://www.nj.gov/health,104,Fairmount
COVID-19 Testing Site: ProHEALTH Jericho,here:pds:place:840dr5rs-3dbf9f6dd2c64ab38d07399299bca8a4,place,"COVID-19 Testing Site: ProHEALTH Jericho, 555 Broadway, New York, NY 10012-3902, United States",USA,United States,NY,New York,New York,New York,Broadway,10012-3902,40.72386,-73.99828,40.72378,-73.99813,81655,800-8000-0400,Covid-19 Testing Site,TRUE,15168740411,https://www1.nyc.gov/site/doh/index.page,555,Soho
Covid-19 Testing Site: Citymd Greenpoint,here:pds:place:840dr5rt-055c94610c384cb0939c7be4b24659a9,place,"Covid-19 Testing Site: Citymd Greenpoint, 795 Manhattan Ave, Brooklyn, NY 11222-2710, United States",USA,United States,NY,New York,Kings,Brooklyn,Manhattan Ave,11222-2710,40.72767,-73.95315,40.72771,-73.95304,83718,800-8000-0400,Covid-19 Testing Site,TRUE,17184893549,https://www1.nyc.gov/site/doh/index.page,795,Greenpoint
COVID-19 Testing Site: MedExpress Vineland,here:pds:place:840dr48k-31b668ea2f6c4b2bb8582ac52aa73aba,place,"COVID-19 Testing Site: MedExpress Vineland, 3403 S Delsea Dr, Vineland, NJ 08360, United States",USA,United States,NJ,New Jersey,Cumberland,Vineland,S Delsea Dr,8360,39.43744,-75.04009,39.43734,-75.04102,87793,800-8000-0400,Covid-19 Testing Site,TRUE,18562936974,https://covid19.nj.gov/index.html,3403,
Covid-19 Testing Site: Promptmd,here:pds:place:840dr5rg-83d24604bb384304b3e0e1da25e308da,place,"Covid-19 Testing Site: Promptmd, 309 1st St, Hoboken, NJ 07030-2440, United States",USA,United States,NJ,New Jersey,Hudson,Hoboken,1st St,07030-2440,40.73809,-74.03504,40.73819,-74.03501,81847,800-8000-0400,Covid-19 Testing Site,TRUE,12012228411,https://www.hobokennj.gov/resources/health-department,309,
Covid-19 Testing Site: Elmhurst Hospital,here:pds:place:840dr5ry-3c7b7494340b43809b27bf4ea9b4a591,place,"Covid-19 Testing Site: Elmhurst Hospital, 79-01 Broadway, Elmhurst, NY 11373, United States",USA,United States,NY,New York,Queens,Elmhurst,Broadway,11373,40.74511,-73.8856,40.74434,-73.88598,88158,800-8000-0400,Covid-19 Testing Site,TRUE,17183344000,https://www1.nyc.gov/site/doh/index.page,79-01,Elmhurst
Covid-19 Testing Site: Rite Aid,here:pds:place:840dr722-77867c1cdcea43ee8f127f2842c3a8d0,place,"Covid-19 Testing Site: Rite Aid, 1366 Clifton Ave, Clifton, NJ 07012-1453, United States",USA,United States,NJ,New Jersey,Passaic,Clifton,Clifton Ave,07012-1453,40.85331,-74.17292,40.85322,-74.17281,90569,800-8000-0400,Covid-19 Testing Site,TRUE,19737782940,https://www.nj.gov/health,1366,Richfield
